Drugname,Price,Search Query,Date,Price_prev,Price Changed,Form,Company,Region,Category
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Tablet,MediHealth,Middle East,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Capsule,BioTech,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Tablet,MedGen,Africa,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,8.0,True,Tablet,MedGen,North America,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Ointment,MediHealth,Asia,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Injection,PharmaCorp,Africa,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,2.0,True,Syrup,CureWell,Africa,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,9.0,True,Injection,CureWell,Europe,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Capsule,MediHealth,Asia,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Capsule,MediHealth,Middle East,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Tablet,CureWell,North America,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Injection,PharmaCorp,Europe,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Ointment,PharmaCorp,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Syrup,BioTech,Africa,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Capsule,MediHealth,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Ointment,BioTech,Europe,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,3.0,True,Capsule,BioTech,North America,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,3.0,True,Tablet,PharmaCorp,Middle East,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Injection,MedGen,Asia,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),1,CY,2024-10-07 16:11:38,1.0,True,Syrup,CureWell,Middle East,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Syrup,MediHealth,Asia,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Ointment,BioTech,Asia,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Ointment,CureWell,Africa,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Capsule,MedGen,Africa,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Tablet,MediHealth,North America,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Ointment,CureWell,North America,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,3.0,True,Ointment,CureWell,Africa,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Injection,MedGen,Asia,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Capsule,CureWell,North America,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,4.0,True,Capsule,MediHealth,Middle East,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Tablet,PharmaCorp,Africa,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Syrup,PharmaCorp,Europe,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Capsule,CureWell,Middle East,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,5.0,True,Injection,CureWell,Middle East,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Capsule,MedGen,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Capsule,MediHealth,Asia,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Syrup,MedGen,Africa,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Ointment,BioTech,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Capsule,MedGen,Asia,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,8.0,True,Syrup,CureWell,North America,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Tablet,CureWell,Middle East,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Injection,CureWell,Africa,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,2.0,True,Capsule,MedGen,Asia,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,9.0,True,Capsule,BioTech,Asia,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Syrup,MedGen,Europe,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Syrup,BioTech,Europe,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Injection,MediHealth,Africa,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Tablet,MedGen,Europe,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Capsule,CureWell,Asia,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Syrup,MediHealth,Europe,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Injection,BioTech,Europe,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Capsule,MedGen,North America,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,3.0,True,Tablet,CureWell,North America,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,3.0,True,Injection,BioTech,Europe,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Ointment,CureWell,Middle East,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),2,CY,2024-10-07 16:11:38,1.0,True,Capsule,MediHealth,Africa,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,CureWell,North America,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,CureWell,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Tablet,CureWell,North America,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Injection,MedGen,Europe,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Ointment,BioTech,Middle East,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Syrup,MedGen,North America,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,3.0,True,Tablet,BioTech,Middle East,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Ointment,CureWell,Europe,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Ointment,BioTech,Europe,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,4.0,True,Ointment,MedGen,North America,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,MediHealth,Asia,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Tablet,MedGen,Europe,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Capsule,MediHealth,Asia,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,5.0,True,Syrup,BioTech,Europe,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,PharmaCorp,Africa,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Syrup,BioTech,North America,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Ointment,CureWell,Africa,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,MediHealth,Asia,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Ointment,MedGen,Africa,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,8.0,True,Syrup,CureWell,Africa,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Ointment,PharmaCorp,Africa,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Ointment,MediHealth,Middle East,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,2.0,True,Syrup,BioTech,North America,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,9.0,True,Syrup,MediHealth,North America,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Ointment,CureWell,Middle East,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Injection,CureWell,Middle East,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,CureWell,North America,Antibiotic
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Syrup,MedGen,Europe,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Tablet,PharmaCorp,Middle East,Antifungal
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,CureWell,Africa,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Capsule,CureWell,Africa,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Injection,PharmaCorp,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,3.0,True,Tablet,MedGen,Asia,Painkiller
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,3.0,True,Tablet,PharmaCorp,North America,Vitamin
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Injection,MedGen,Asia,Antiviral
CYTOTEC 200 MCG 1 TAB (IMPORTED),9,CY,2024-10-07 16:11:38,1.0,True,Injection,PharmaCorp,Europe,Antifungal
DA ACTI CLEAR CORRECTING SERUM,1,DA,2024-10-07 16:12:01,1.0,True,Ointment,MedGen,Europe,Painkiller
DA ACTI GLOW NIGHT CREAM,1,DA,2024-10-07 16:12:01,1.0,True,Capsule,MediHealth,Asia,Painkiller
DA ACTI GLOW NIGHT CREAM,1,DA,2024-10-07 16:12:01,1.0,True,Ointment,CureWell,North America,Antifungal
DA ACTI BRIGHTENING FOAMING GEL 200ML,1,DA,2024-10-07 16:12:01,1.0,True,Syrup,MedGen,Europe,Antifungal
DA ACTI CICA CREAM 50 ML,1,DA,2024-10-07 16:12:02,1.0,True,Injection,MedGen,Asia,Vitamin
DA ACTI CLEAR GENTLE CLEANSING GEL 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,CureWell,Asia,Antibiotic
DA ACTI CLEAR GENTLE CLEANSING GEL 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,MediHealth,Africa,Antifungal
DA ACTI CLEAR GENTLE CLEANSING GEL 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Injection,MedGen,Africa,Antiviral
DA ACTI CLEAR GENTLE CLEANSING GEL 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Ointment,PharmaCorp,Africa,Antifungal
DA ACTI CLEAR GLOBAL AC CREAM GEL,1,DA,2024-10-07 16:12:02,1.0,True,Syrup,PharmaCorp,Asia,Antiviral
DA ACTI CLEAR GLOBAL AC CREAM GEL 50ML,1,DA,2024-10-07 16:12:02,1.0,True,Ointment,CureWell,Africa,Antifungal
DA ACTI GLOW EYE CONTOUR,1,DA,2024-10-07 16:12:02,1.0,True,Injection,CureWell,Africa,Vitamin
DA ACTI GLOW BOOSTER SERUM,1,DA,2024-10-07 16:12:02,1.0,True,Injection,MedGen,Middle East,Antiviral
DA ACTI GLOW DAY CREAM SPF 30+,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,CureWell,Africa,Antifungal
DA ACTI GLOW DAY CREAM SPF 30+,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,CureWell,North America,Antiviral
DA ACTI GLOW DAY CREAM SPF 30+,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,PharmaCorp,Middle East,Antiviral
DA ACTI GLOW DAY CREAM SPF 30+,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,MedGen,North America,Painkiller
DA ACTI GLOW DAY CREAM SPF+30,1,DA,2024-10-07 16:12:02,1.0,True,Syrup,MedGen,Middle East,Antifungal
DA ACTI GLOW EYE CONTOUR CREAM 15ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,CureWell,Middle East,Antifungal
DA ACTI GLOW MICELLAR FOAM 150ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,MedGen,Middle East,Painkiller
DA ACTI GLOW MICELLER FOAM,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,MediHealth,Asia,Painkiller
DA ACTI GLOW NIGHT CREAM,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,MedGen,Europe,Antibiotic
DA ACTI GLOW NIGHT CREAM,1,DA,2024-10-07 16:12:02,1.0,True,Syrup,CureWell,Africa,Vitamin
DA ACTI GLOW NIGHT CREAM 50ML,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,BioTech,Middle East,Antifungal
DA ACTI GLOW RADIANCE BOOSTER SERUM 30ML,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,MedGen,North America,Vitamin
DA ACTI HYDRA CREAM-GEL,1,DA,2024-10-07 16:12:02,1.0,True,Injection,MedGen,Africa,Vitamin
DA ACTI HYDRA MATTIFYING 50ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,MediHealth,Asia,Antiviral
DA ACTI REPAIR CICA CREAM,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,MediHealth,North America,Antiviral
DA ACTI REPAIR CICA CREAM 50ML,1,DA,2024-10-07 16:12:02,1.0,True,Ointment,MediHealth,North America,Vitamin
DA ACTI REPAIR CLEANSING GEL 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,BioTech,Africa,Painkiller
DA ACTI REPAIR EMOLIENT EXTREME 200 ML,1,DA,2024-10-07 16:12:02,1.0,True,Syrup,PharmaCorp,Africa,Antifungal
DA ACTI REPAIR EMOLLIENT 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,CureWell,North America,Antibiotic
DA ACTI SOLAIRE 50SPF FLUID 50ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,MediHealth,Asia,Antiviral
DA ACTI SOLAIRE 50SPF FLUID TINTED,1,DA,2024-10-07 16:12:02,1.0,True,Syrup,BioTech,Middle East,Antibiotic
DA ACTI SOLAIRE SPF 50+ ULTRA FLUID DRY,1,DA,2024-10-07 16:12:02,1.0,True,Tablet,PharmaCorp,North America,Painkiller
DA ACTI WHITE BODY MILK 200ML,1,DA,2024-10-07 16:12:02,1.0,True,Capsule,PharmaCorp,Middle East,Antibiotic
DA ACTI-CKEAR CORRECTING SERUM,1,DA,2024-10-07 16:12:03,1.0,True,Syrup,CureWell,Middle East,Antibiotic
DA ACTI-CLEAR GENTLE CLEANSING GEL,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,CureWell,Middle East,Painkiller
DA ACTI-CLEAR GENTLE CLEANSING GEL 250ML,1,DA,2024-10-07 16:12:03,1.0,True,Injection,BioTech,Asia,Antiviral
DA ACTI-CLEAR HYDRA MATIFYING GEL,1,DA,2024-10-07 16:12:03,1.0,True,Syrup,MediHealth,Africa,Vitamin
DA ACTI-CLEAR HYDRA MATIFYING GEL,1,DA,2024-10-07 16:12:03,1.0,True,Ointment,BioTech,Europe,Antiviral
DA ACTI-CLEAR HYDRA MATIFYING GEL,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,PharmaCorp,Europe,Vitamin
DA ACTI-CLEAR HYDRA MATIFYING GEL,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,BioTech,Europe,Antibiotic
DA ACTI-CLEAR HYDRA-MATTIFYING CREAM GEL,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,CureWell,Middle East,Painkiller
DA ACTI-GLOW BOOSTER SERUM 30ML,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,PharmaCorp,Africa,Antibiotic
DA ACTI-GLOW DAY CREAM +30SPF 50ML,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,CureWell,Africa,Antibiotic
DA ACTI-GLOW EYE CONTOUR 15ML,1,DA,2024-10-07 16:12:03,1.0,True,Syrup,CureWell,Africa,Painkiller
DA ACTI-GLOW NIGHT CREAM50ML,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,BioTech,Europe,Vitamin
DA ACTI-REPAIR CICA CREAM 50ML,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,CureWell,Asia,Vitamin
DA ACTI-REPAIR HYDRA GEL,1,DA,2024-10-07 16:12:03,1.0,True,Injection,PharmaCorp,Europe,Vitamin
DA ACTI-SOLAIRE KIDS SPRAY,1,DA,2024-10-07 16:12:03,1.0,True,Injection,BioTech,Africa,Antibiotic
DA ACTI-SOLAIRE KIDS SPRAY 125 ML,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,MedGen,Asia,Antifungal
DA ACTI-SOLAIRE LAIT SPRAY,1,DA,2024-10-07 16:12:03,1.0,True,Ointment,MediHealth,North America,Antiviral
DA ACTI-SOLAIRE MELTING CREAM 50ML,1,DA,2024-10-07 16:12:03,1.0,True,Injection,PharmaCorp,North America,Antiviral
DA ACTI-SOLAIRE MELTING CREAM TINED,1,DA,2024-10-07 16:12:03,1.0,True,Tablet,MediHealth,North America,Painkiller
DA ACTI-SOLAIRE ULTRA FLIUD TINTED,1,DA,2024-10-07 16:12:03,1.0,True,Injection,MediHealth,North America,Antiviral
DA ACTI-SOLAIRE ULTRA FLUID,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,BioTech,North America,Antiviral
DA ACTI-WHITE 2IN1 BODYMILK,1,DA,2024-10-07 16:12:03,1.0,True,Ointment,PharmaCorp,North America,Painkiller
DA ACTI-WHITE 2IN1 BODYMILK,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,CureWell,Asia,Antiviral
DA ACTI-WHITE 2IN1 BODYMILK,1,DA,2024-10-07 16:12:03,1.0,True,Ointment,MedGen,Middle East,Vitamin
DA ACTI-WHITE 2IN1 BODYMILK,1,DA,2024-10-07 16:12:03,1.0,True,Ointment,MedGen,Asia,Antibiotic
DA ACTI-WHITE CORRECTING SERUM,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,MedGen,Europe,Vitamin
DA ACTI-WHITE DEPIGMENTING CR 50 ML,1,DA,2024-10-07 16:12:03,1.0,True,Capsule,MediHealth,North America,Antifungal
DA ACTI-WHITE DEPIGMENTING CREAM 50 ML,1,DA,2024-10-07 16:12:03,1.0,True,Injection,MediHealth,North America,Antifungal
DA ACTI-WHITE EYE CONTOUR CARE CREAM GEL,1,DA,2024-10-07 16:12:03,1.0,True,Syrup,BioTech,North America,Antibiotic
DA ANTI-HAIR LOSS LOTION,1,DA,2024-10-07 16:12:03,1.0,True,Injection,CureWell,North America,Vitamin
DA ANTI-HAIR LOSS SHAMPOO,1,DA,2024-10-07 16:12:03,1.0,True,Injection,BioTech,Middle East,Antiviral
DA BABY DIAPER SOOTHING CREAM 75ML,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,BioTech,Europe,Painkiller
DA BABY FACE SOOTHING CREAM 75ML,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,CureWell,Middle East,Antibiotic
DA BABY HAIR SERUM120ML,1,DA,2024-10-07 16:12:04,1.0,True,Ointment,CureWell,Asia,Painkiller
DA BABY MOISTURIZING LOTION 250ML,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,MediHealth,Middle East,Painkiller
DA BABY SHAMPOO 250ML,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,CureWell,Africa,Vitamin
DA EYE CONTOUR CARE 15ML,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,PharmaCorp,Middle East,Antiviral
DA FRESH SPRAY 30 ML,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,MediHealth,Middle East,Antifungal
DA INTENSE ROLL-ON,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,MedGen,Africa,Vitamin
DA REFRESHING ROLL-ON,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,PharmaCorp,Asia,Vitamin
DA SWEAT CONTROL INTENSE ROLL ON,1,DA,2024-10-07 16:12:04,1.0,True,Syrup,PharmaCorp,Asia,Painkiller
DA SWEAT CONTROL REFRESHING ROLL ON,1,DA,2024-10-07 16:12:04,1.0,True,Ointment,PharmaCorp,Africa,Antibiotic
DA SWEAT CONTROL ROLL ON 60ML,1,DA,2024-10-07 16:12:04,1.0,True,Syrup,PharmaCorp,Europe,Antiviral
DA SWEAT CONTROL ROLL-ON,1,DA,2024-10-07 16:12:04,1.0,True,Syrup,MediHealth,Asia,Antibiotic
DA SWEAT CONTROL TRIEFFECT ROLL ON 60ML,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,BioTech,Africa,Antiviral
DA SWEAT CONTROLL ROLL ON,2,DA,2024-10-07 16:12:04,2.0,True,Tablet,MedGen,Africa,Antiviral
DA TRICHO ANTI DANDRUFF SHAMPOO 200ML,1,DA,2024-10-07 16:12:04,1.0,True,Syrup,MediHealth,Asia,Antifungal
DA TRICHO-ACT ANTI-DANDRUFF DS SHAMPOO 2,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,BioTech,Asia,Vitamin
DA TRICHO-ACT ANTI-HAIR LOSS,1,DA,2024-10-07 16:12:04,1.0,True,Ointment,PharmaCorp,Asia,Painkiller
DA TRICHO-ACT ANTI-HAIR LOTION 120ML,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,BioTech,Europe,Painkiller
DA TRICHO-ACT GUMMIES 60,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,MediHealth,Africa,Vitamin
DA TRICHO-ACT HAIR REPAIRING 150ML,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,MedGen,Europe,Vitamin
DA TRICHO-ACT HAIR REPAIRING MASK,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,MediHealth,Europe,Vitamin
DA TRICHO-ACT-ANTI HAIR LOSS LOTION,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,MedGen,Europe,Antifungal
DA VEIA HAIR AMP,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,MediHealth,Middle East,Antifungal
DA VEIA HAIR AMPOULES,1,DA,2024-10-07 16:12:04,1.0,True,Injection,MedGen,North America,Vitamin
DA VEIA TONIC SPRAY,1,DA,2024-10-07 16:12:04,1.0,True,Tablet,PharmaCorp,Africa,Vitamin
DA VEIA TONIC SPRAY 120 ML,1,DA,2024-10-07 16:12:04,1.0,True,Capsule,PharmaCorp,Asia,Painkiller
DA VIEA SPRAY,1,DA,2024-10-07 16:12:05,1.0,True,Ointment,CureWell,Europe,Painkiller
DA.ACTI SPF50+ KIDS SPRAY,1,DA,2024-10-07 16:12:05,1.0,True,Syrup,MediHealth,Africa,Vitamin
DAACTI GLOW DAY CREAM 30+50ML,1,DA,2024-10-07 16:12:05,1.0,True,Syrup,MediHealth,Middle East,Antifungal
DAACTI GLOW EYE CONTOUR CC15 ML,1,DA,2024-10-07 16:12:05,1.0,True,Ointment,MedGen,Asia,Painkiller
DAACTI GLOW MICELLAR FOAM 150ML,1,DA,2024-10-07 16:12:05,1.0,True,Ointment,BioTech,Europe,Vitamin
DAACTI GLOW NIGHT CREAM 50ML,1,DA,2024-10-07 16:12:05,1.0,True,Tablet,CureWell,North America,Antifungal
DAACTI GLOW RADIANCE SERUM 30ML,1,DA,2024-10-07 16:12:05,1.0,True,Syrup,MedGen,North America,Vitamin
DAB. AMLA JASMIN 180 ML.H.OIL,1,DA,2024-10-07 16:12:05,1.0,True,Tablet,MedGen,Africa,Vitamin
DA-BABY BODY MOIST LOTION,1,DA,2024-10-07 16:12:05,1.0,True,Injection,MedGen,Europe,Antibiotic
DA-BABY DIAPER SOOTHING CREAM,1,DA,2024-10-07 16:12:05,1.0,True,Tablet,PharmaCorp,Africa,Antibiotic
DA-BABY GENTLE SHAMPOO,1,DA,2024-10-07 16:12:05,1.0,True,Capsule,PharmaCorp,Europe,Vitamin
DA-BABY HAIR DETANGLING SERUM,1,DA,2024-10-07 16:12:05,1.0,True,Tablet,PharmaCorp,Europe,Antifungal
DABAVELDACTIN PLUS 5\850,1,DA,2024-10-07 16:12:05,1.0,True,Ointment,MedGen,Middle East,Antiviral
